Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2015-01-01,41033,1377845,36728,84508,26011,39838,3103821,37093
2015-01-01,19187,985971,43303,37048,19916,50937,1604283,24391
2015-01-01,34019,7334656,81057,125396,50937,62774,10164164,76337
2015-01-01,27057,404837,38723,20645,6117,34702,799431,9378
2015-01-01,54105,94714,29598,5805,649,26502,171816,1308
2015-01-01,48489,294893,25932,21902,4117,42872,567964,6303
2015-01-01,56013,979436,42239,40228,17606,42568,1699190,24330
2015-01-01,38049,194576,48955,5975,1426,41284,292509,2956
2015-01-01,37123,462492,32240,27456,10096,42102,885173,12388
2015-01-01,12069,6391109,37817,325091,95435,37688,12294047,132058
2015-01-01,16037,81363,41889,4059,1535,32688,170026,2703
2015-01-01,37107,1100234,36485,57994,29779,42646,2115916,35137
2015-01-01,45081,388220,32763,20187,5024,36036,661387,6599
2015-01-01,37181,697679,32442,44480,15866,38481,1443033,19926
2015-01-01,13073,4499956,45981,143912,34384,39241,6617207,50124
2015-01-01,13113,4209585,55736,110203,43244,40622,6142242,61503
2015-01-01,13119,447374,34638,22262,8197,43923,771107,11481
2015-01-01,18027,781877,38300,32811,12295,42152,1256668,17518
2015-01-01,47173,313201,28830,19160,2615,35203,552390,4605
2015-01-01,13191,185254,26909,14033,2144,27720,377614,3531
2015-01-01,51135,232038,32459,15606,6346,41778,506557,7777
2015-01-01,13299,546166,31038,35359,16705,43910,1097479,19745
2015-01-01,13061,32062,27993,3077,576,26773,86134,894
2015-01-01,46129,112029,42608,5405,2426,35566,230297,3418
2015-01-01,01023,250878,35317,13233,3827,48561,467349,5236
2015-01-01,39075,1291241,39077,43881,20411,53066,1714728,28625
2015-01-01,18109,1810536,39619,69565,16571,39321,2756098,23329
2015-01-01,31063,89468,48753,2632,940,52814,128319,1644
2015-01-01,37195,1716752,37455,81281,39837,46952,3044368,48373
2015-01-01,22081,161589,35754,8714,2843,38900,311559,4050
2015-01-01,22061,1006525,36878,47437,19613,43474,1749375,25958
2015-01-01,51017,111890,54710,4456,2485,41757,243786,3128
2015-01-01,51941,1237481,35939,60440,32891,69104,2172141,36507
2015-01-01,29173,213562,36168,10161,3732,40689,367499,5327
2015-01-01,31007,39102,72352,713,249,86256,51587,464
2015-01-01,29107,702165,37465,32609,9295,33304,1221689,13884
2015-01-01,21151,1823195,33575,88237,37664,40116,2962531,46532
2015-01-01,29029,717817,34586,44743,17285,33411,1547467,24561
2015-01-01,21117,5128261,50926,164092,68948,57231,8356549,84752
2015-01-01,29085,84692,26589,9266,1398,22377,246374,2798
2015-01-01,19155,2500991,42523,93608,41185,47757,3980507,50450
2015-01-01,38045,80916,44317,4136,1562,31412,183297,2754
2015-01-01,39101,1270569,33464,65382,25364,46900,2187974,30776
2015-01-01,39109,2849317,42392,104082,42613,44129,4412206,54255
2015-01-01,40087,1077212,42032,37985,9613,34134,1596588,16524
2015-01-01,19167,1268652,52209,34769,21234,54500,1815260,27292
2015-01-01,48021,1697005,33548,80281,17947,35697,2693269,29915
2015-01-01,40145,1939330,36929,76770,10306,33749,2835060,19627
2015-01-01,39143,1418207,38054,59462,27303,46441,2262785,32767
2015-01-01,29045,126207,33448,6808,1642,24505,227716,2797
2015-01-01,39093,8207050,41657,305402,103066,47529,12721994,130528
2015-01-01,20177,4641414,42497,178736,104636,51580,7595677,122457
2015-01-01,30049,1780713,44766,66228,36911,47843,2964742,47546
2015-01-01,24009,3581005,56868,90468,24509,48346,5144726,35424
2015-01-01,53029,2008089,49707,80031,22908,49188,3978066,33689
2015-01-01,48373,671584,37792,46632,11460,33968,1762324,18412
2015-01-01,48481,1051465,41117,41426,16817,38445,1703314,23994
2015-01-01,17043,43721747,65800,933965,644648,69376,61454941,782704
2015-01-01,48269,13581,61544,281,124,58831,17294,236
