Year,GeoFIPS,Net_earnings_by_place_of_residence,Percapita_personal_income,Population,Wage_and_salary_employment,Earnings_per_job_avg,Personal_income,Total_employment
2017-01-01,12027,418926,23869,37252,10734,42028,889180,13682
2017-01-01,37037,2407319,59921,71248,15983,35090,4269280,27317
2017-01-01,37099,686490,31851,43192,18494,41083,1375707,23101
2017-01-01,37077,1370437,36852,59374,22440,50650,2188055,28248
2017-01-01,34011,3332629,38630,151748,64119,55254,5861990,75530
2017-01-01,16065,589878,24881,39373,17525,33534,979659,23349
2017-01-01,31037,289175,39161,10775,5420,50496,421958,6813
2017-01-01,01029,315386,34862,14906,2512,42944,519659,4121
2017-01-01,45019,14199139,58588,401738,275942,58584,23537053,347859
2017-01-01,13031,1404239,30825,76084,28387,38901,2345298,36256
2017-01-01,01103,2683177,38289,118811,50531,46616,4549210,64224
2017-01-01,31097,120011,36160,5176,1721,47498,187163,2648
2017-01-01,22085,405933,33001,24009,5670,41783,792329,8285
2017-01-01,37065,787833,33327,52757,17697,39661,1758210,21551
2017-01-01,51025,255043,31653,16616,4147,37641,525942,5470
2017-01-01,51911,2606726,36317,136151,75739,49076,4944560,89013
2017-01-01,29061,146617,33550,8359,1663,26768,280441,3984
2017-01-01,31025,882070,50955,25904,6340,42049,1319937,10104
2017-01-01,05127,165681,30330,10374,3292,36610,314645,4719
2017-01-01,01063,116255,31388,8318,1994,32226,261086,3144
2017-01-01,29211,143496,39075,6199,2607,45692,242227,3902
2017-01-01,18111,336604,37763,14041,3570,40083,530237,4991
2017-01-01,05137,132363,29491,12517,2893,27651,369142,4972
2017-01-01,39097,1208028,40598,44047,18298,49834,1788226,23423
2017-01-01,01085,218422,39011,10104,2652,46607,394169,4060
2017-01-01,20201,130807,43064,5466,2161,31954,235388,3616
2017-01-01,40049,553364,36372,27870,10348,42722,1013683,15812
2017-01-01,48151,62648,35079,3904,1014,20984,136948,2021
2017-01-01,05017,178001,35538,10639,3600,36934,378090,4787
2017-01-01,20191,561670,38969,23098,7245,40091,900117,10835
2017-01-01,21151,1954298,34654,91226,36451,41891,3161351,45658
2017-01-01,37173,275024,37192,14266,6814,40049,530585,8531
2017-01-01,08057,33805,45186,1379,595,32680,62312,1030
2017-01-01,48223,815782,37630,36493,13619,39095,1373231,20093
2017-01-01,39173,3988490,45082,130532,72327,51090,5884680,86814
2017-01-01,21085,464687,32558,26264,8272,33997,855093,12194
2017-01-01,08041,20339867,46692,700800,319535,54123,32721960,414197
2017-01-01,21109,181629,27836,13420,1786,25017,373556,3459
2017-01-01,30033,20360,35337,1288,407,26268,45514,848
2017-01-01,48037,2046418,38758,93977,44442,46258,3642393,55461
2017-01-01,54107,1861404,39614,85083,38566,47680,3370464,46170
2017-01-01,41057,528190,42509,26574,9758,44056,1129643,13693
2017-01-01,38041,67386,49252,2485,926,37161,122390,1724
2017-01-01,48465,1015268,34655,49096,19796,44202,1701430,25450
2017-01-01,06061,16569231,64015,385565,171733,59258,24681918,234612
2017-01-01,24039,385326,31147,25913,7268,54514,807107,9689
2017-01-01,24001,1347560,38754,71386,31234,48802,2766459,36504
2017-01-01,56007,520584,53844,15242,7287,56041,820694,9677
2017-01-01,06015,469178,36172,27428,8521,51554,992138,10875
2017-01-01,27047,708613,42680,30537,12731,41344,1303316,16837
2017-01-01,19187,919312,42623,36643,19179,49762,1561843,23587
2017-01-01,19023,419850,47707,14582,3851,42111,695666,6772
2017-01-01,23025,984762,36980,50421,17628,44987,1864562,23363
2017-01-01,41037,128918,37029,7890,2622,39374,292155,3862
2017-01-01,42067,709549,43589,24628,7122,47749,1073509,10873
2017-01-01,42105,384815,40149,16835,5742,51829,675907,8284
2017-01-01,08065,163459,34801,7753,2429,40571,269814,3539
2017-01-01,02198,150747,41456,6469,2252,53232,268177,3117
2017-01-01,25025,39564553,77036,801455,718152,106239,61740846,850476
2017-01-01,12119,1489843,44097,124933,30739,41746,5509132,42991
2017-01-01,12059,271102,29598,19448,3741,30493,575625,6242
2017-01-01,12007,495214,32876,27133,7202,39253,892024,9447
2017-01-01,12089,2563596,55738,82864,23923,41482,4618715,34925
2017-01-01,12107,1032007,30823,73385,17574,40649,2261916,23359
2017-01-01,47125,5207331,40461,200015,57663,42356,8092879,77890
2017-01-01,13013,1928938,35560,78843,19925,40793,2803653,29156
2017-01-01,13047,1465842,34048,66503,15900,38657,2264262,22395
2017-01-01,47151,308063,28106,21985,6070,35598,617909,8234
2017-01-01,01055,1967440,35542,102937,39104,39171,3658631,50527
2017-01-01,18013,403697,45194,14999,3224,29735,677871,5586
2017-01-01,01000,116486143,40467,4875120,2072890,48798,197283188,2653968
2017-01-01,31041,280281,44158,10880,4818,38151,480442,7865
2017-01-01,01041,279740,35823,13861,4135,40414,496545,6029
2017-01-01,18143,505872,36227,23853,8758,41390,864114,10542
2017-01-01,28161,219416,35020,12474,3173,33077,436841,4942
2017-01-01,31121,227344,45743,7861,2526,48382,359586,4111
2017-01-01,18153,387504,33765,20699,6003,42976,698894,7842
2017-01-01,16047,579145,53995,15170,6785,64571,819106,8988
2017-01-01,20023,59634,41532,2690,985,34532,111721,1762
2017-01-01,51953,1384414,39269,71065,31574,41379,2790624,40036
2017-01-01,31047,622152,40642,23643,12143,45978,960897,15377
2017-01-01,31045,182684,36124,8885,3636,35646,320963,5230
2017-01-01,47033,277264,34675,14465,4208,39538,501568,5983
2017-01-01,40093,183875,40204,7674,2541,32178,308525,4995
2017-01-01,40039,692096,39009,28942,13533,44847,1128992,18480
2017-01-01,40103,266019,40176,11306,4970,41839,454227,7335
2017-01-01,20141,86458,43447,3556,1529,32286,154497,2668
2017-01-01,48265,1060481,47670,51850,19243,38731,2471693,31299
2017-01-01,40055,70322,26804,5797,1263,25209,155380,2129
2017-01-01,23023,997566,48764,35423,16386,52421,1727383,22006
2017-01-01,48375,3142765,41721,120518,82742,55641,5028124,100102
2017-01-01,08093,473713,43280,17920,2738,30703,775573,6038
2017-01-01,22035,112007,36315,7133,2076,41379,259033,2836
2017-01-01,26139,8876223,47043,286922,130691,52352,13497791,166001
2017-01-01,48209,6220146,41539,214277,71729,41283,8900799,106625
2017-01-01,55131,5214081,55813,135063,59011,52043,7538314,74877
2017-01-01,21223,186850,35388,8565,1182,31274,303100,2334
2017-01-01,20087,530487,41883,18990,3925,34156,795358,6928
2017-01-01,48055,814590,32083,42425,9150,34480,1361130,15841
2017-01-01,49009,20998,38788,1022,413,33345,39641,614
2017-01-01,08033,33428,33542,2053,592,22880,68862,1204
2017-01-01,39153,16940326,48894,541742,285002,55254,26488045,349598
2017-01-01,42103,1508275,45340,55523,12240,38416,2517432,18962
2017-01-01,20073,124591,40495,6094,1846,28760,246776,3406
2017-01-01,48475,330888,42704,11423,4856,57807,487805,6405
2017-01-01,24035,2066201,62287,49667,15773,45260,3093631,24536
2017-01-01,54089,176068,31876,12891,2521,34970,410910,3600
2017-01-01,48445,217967,31760,12458,4112,42732,395668,6018
2017-01-01,26155,1542355,37681,68459,17940,39973,2579605,25303
2017-01-01,36021,1827196,53880,60408,22397,44656,3254763,32845
2017-01-01,06059,136032879,65709,3179950,1705373,68113,208949975,2249094
2017-01-01,23009,1478079,48782,54597,23817,43644,2663345,36091
2017-01-01,30027,237449,41218,11283,4849,37580,465059,7303
2017-01-01,35055,493791,36575,32862,11478,31295,1201914,17749
2017-01-01,42071,17854154,49961,541054,258652,56004,27031379,334809
2017-01-01,53013,95099,47011,4023,1384,48012,189127,2129
2017-01-01,19193,2705726,41570,102052,53704,47801,4242280,63580
2017-01-01,17103,825989,40081,34511,12942,48801,1383233,16879
2017-01-01,19089,229037,44126,9219,4151,38256,406801,6231
2017-01-01,19181,1711667,48764,50102,12237,37353,2443161,19227
2017-01-01,17039,458174,45308,15909,5493,60146,720807,7395
2017-01-01,53049,344446,40409,21684,7208,40506,876222,9981
2017-01-01,17000,448098320,53943,12786196,6211324,64255,689723793,7839160
2017-01-01,06089,4088558,44480,179539,69729,50251,7985961,90997
2017-01-01,42109,977493,40322,40585,17821,44175,1636464,23414
2017-01-01,17197,25732089,50449,691017,258043,52467,34861105,332062
2017-01-01,09003,37516602,61938,892931,541394,75824,55306784,657862
2017-01-01,21213,417432,37757,18105,9369,45168,683592,11772
2017-01-01,34037,5825269,58717,141185,41467,49399,8289938,62655
2017-01-01,37135,5455419,63460,143960,79878,57118,9135738,103596
2017-01-01,12065,300307,39715,14147,2711,32546,561845,4968
2017-01-01,37005,181532,36949,11023,3590,32028,407289,5768
2017-01-01,12113,4606262,42972,174069,40761,40051,7480051,61346
2017-01-01,13159,343388,39111,13886,2413,33342,543101,4426
2017-01-01,13153,3886956,41105,153138,66303,53192,6294669,82814
2017-01-01,13249,99281,29949,5254,1071,38953,157351,1612
2017-01-01,46003,71391,42188,2757,878,36482,116311,1678
2017-01-01,46043,101684,53839,2925,1225,49789,157479,2094
2017-01-01,18059,2492963,48483,74940,25038,46652,3633321,34170
2017-01-01,45083,7626684,41783,306632,147519,53100,12812008,180478
2017-01-01,51921,3743349,48870,114709,60459,52489,5605878,74623
2017-01-01,01125,4571078,37157,207709,101805,47255,7717938,125219
2017-01-01,04021,7285821,29587,432114,64117,41722,12784950,97069
2017-01-01,13015,2520480,36844,104981,39396,46335,3867887,52014
2017-01-01,28113,590963,29966,39602,15786,34408,1186713,21187
2017-01-01,51810,15734934,55731,449962,206609,49766,25076837,265642
2017-01-01,18079,589629,37482,27638,7848,40955,1035940,10262
2017-01-01,13063,4763558,27058,284534,130564,52792,7698857,176042
2017-01-01,28005,219939,32432,12444,2209,32077,403590,3963
2017-01-01,29227,40027,36159,2049,436,26841,74089,1070
2017-01-01,47147,1934387,40211,70154,25032,43397,2820978,35310
2017-01-01,18135,517402,36856,24954,7044,42363,919712,9768
2017-01-01,22117,729363,32210,46609,11609,33874,1501255,17572
2017-01-01,28001,478673,32428,31337,11534,36894,1016211,16057
2017-01-01,29195,492474,38453,22924,9129,44599,881502,12004
2017-01-01,20187,61563,52848,2029,904,44472,107229,1530
2017-01-01,47139,308051,32647,16765,2691,33190,547330,4303
2017-01-01,31015,51169,47471,1962,652,42357,93139,1214
2017-01-01,40129,84743,43257,3671,1023,28757,158798,2445
2017-01-01,49023,264614,34560,11248,3692,36972,388731,5335
2017-01-01,55043,1336897,41598,51806,20768,44674,2155034,29072
2017-01-01,31007,21202,47049,734,215,38998,34534,522
2017-01-01,05103,444564,35026,23824,7778,37593,834466,9717
2017-01-01,33011,17203494,58305,413157,216844,66640,24089099,272444
2017-01-01,05065,173109,29374,13680,3462,31946,401839,5361
2017-01-01,18181,585513,41273,24165,9474,42411,997358,12458
2017-01-01,22101,987513,37142,50672,22702,51981,1882055,28312
2017-01-01,40037,1618279,38749,71774,19398,41264,2781140,29286
2017-01-01,30015,79859,32696,5752,1543,25018,188067,2813
2017-01-01,48451,2938645,43536,117689,53067,46068,5123767,70890
2017-01-01,21137,391573,30755,24498,4534,28999,753441,7615
2017-01-01,21013,281924,28620,26904,8783,38514,770005,10487
2017-01-01,55057,553986,36478,26479,9464,43585,965906,12639
2017-01-01,26109,507795,41393,23007,7484,40507,952337,10056
2017-01-01,54033,1806405,44879,67923,39139,55607,3048350,47065
2017-01-01,54091,383122,37954,16910,3537,40252,641798,5165
2017-01-01,53043,239683,45266,10579,3056,44438,478866,5004
2017-01-01,38037,55976,43501,2376,656,41110,103358,1397
2017-01-01,32023,772599,36551,44051,11928,52740,1610128,15933
2017-01-01,36039,1262814,46011,47474,15516,48196,2184349,21523
2017-01-01,54095,149859,35457,8807,2286,45888,312274,3210
2017-01-01,17167,5549147,46187,196889,104495,55605,9093807,125435
2017-01-01,36057,1115049,41112,49216,20373,46060,2023349,25403
2017-01-01,48403,130678,33646,10441,2445,38437,351298,3650
2017-01-01,50013,250428,57266,6983,1336,34339,399886,2796
2017-01-01,02170,3222604,44043,106383,25030,47109,4685397,38860
2017-01-01,06111,32570035,58761,850802,344519,62143,49994234,466151
2017-01-01,19045,1166550,42167,46902,22049,43878,1977737,27466
2017-01-01,55051,127977,48743,5672,1790,37132,276470,2594
2017-01-01,17165,480736,38524,24035,8504,45108,925920,11511
2017-01-01,27127,399881,47379,15243,6507,46138,722194,9290
2017-01-01,38000,25493566,52669,755176,447726,54647,39774613,575020
2017-01-01,27009,1116733,42321,40127,18424,44478,1698219,23465
2017-01-01,30089,144330,33508,11692,3084,31296,391774,5360
2017-01-01,09007,7339077,65598,162855,72785,60684,10682952,98427
2017-01-01,19171,437593,43132,17055,5952,37862,735615,8728
2017-01-01,34021,15753264,65877,368602,235259,76417,24282260,283989
2017-01-01,22071,11260956,49436,391538,216279,55999,19356079,282839
2017-01-01,12041,341704,33217,17865,3694,39472,593422,5606
2017-01-01,37123,482044,33760,27347,10209,43731,923246,12452
2017-01-01,12049,458897,28844,27202,8347,43752,784615,10898
2017-01-01,18087,1189554,41176,39222,15205,49212,1615013,22773
2017-01-01,47037,31685815,62876,689006,510118,72805,43322193,647138
2017-01-01,51065,706255,42829,26417,4523,38093,1131402,7629
2017-01-01,13131,487568,33524,24749,6716,43487,829687,9325
2017-01-01,47031,1212204,37323,54941,26744,48373,2050549,33686
2017-01-01,18081,4937839,46528,153922,57143,42931,7161613,74608
2017-01-01,13217,2240232,32456,107935,26422,36776,3503135,42351
2017-01-01,37117,353461,33727,22776,8017,37607,768167,10195
2017-01-01,33019,1308291,49427,43069,14908,47892,2128781,20599
2017-01-01,51000,305728656,55306,8465207,4140795,61701,468177329,5229218
2017-01-01,40003,117515,38924,5900,1739,37773,229650,3247
2017-01-01,01033,1109665,37073,54509,25805,47866,2020829,31639
2017-01-01,04003,2326507,39165,124990,38973,53313,4895203,51109
2017-01-01,47113,2421842,40781,97586,61456,49108,3979625,73494
2017-01-01,01011,144588,27442,10176,3282,37682,279251,4201
2017-01-01,13033,448854,34394,22518,13125,79695,774479,15631
2017-01-01,20055,1062091,40772,36853,19896,48602,1502581,24975
2017-01-01,22017,6131209,45384,246034,120780,49102,11166100,161361
2017-01-01,18089,13127046,43085,484766,201768,53264,20885927,245938
2017-01-01,29017,202308,31359,12286,2014,26162,385278,4002
2017-01-01,40017,4273849,43108,140053,36546,40321,6037456,56711
2017-01-01,20047,78160,46538,2893,1074,39450,134633,1772
2017-01-01,48345,14731,28478,1229,402,20091,35000,826
2017-01-01,21035,774806,34755,38865,17877,39107,1350764,22741
2017-01-01,41003,2395421,44519,91567,39115,55985,4076498,51317
2017-01-01,05069,1234306,34006,69269,30983,46940,2355577,36707
2017-01-01,48101,33641,57757,1381,437,36855,79763,878
2017-01-01,55115,1012076,40847,40881,14054,40033,1669865,19567
2017-01-01,21221,280623,36180,14424,3283,33848,521858,5095
2017-01-01,48097,1293268,50624,39984,15303,49764,2024142,24485
2017-01-01,10001,4132911,40438,176445,73693,49469,7135135,92106
2017-01-01,19049,4038309,63620,87215,45453,54206,5548633,58703
2017-01-01,30075,28017,32616,1744,616,24820,56883,1223
2017-01-01,29045,127811,34877,6727,1556,25373,234620,2700
2017-01-01,48279,304421,37320,13198,4192,48297,492551,6190
2017-01-01,19125,946164,45902,33105,17891,49439,1519593,22403
2017-01-01,48157,32622978,55217,766136,193027,48503,42303942,322358
2017-01-01,30009,255175,44912,10691,3011,26782,480152,5797
2017-01-01,48463,487239,37788,27098,10660,36072,1023989,14982
2017-01-01,21133,244250,29386,22328,4605,38668,656128,5936
2017-01-01,08105,249390,43609,11306,4311,38812,493047,6533
2017-01-01,27109,5794980,55163,154519,101604,63716,8523787,120303
2017-01-01,17017,311020,40212,12461,6010,45695,501085,7486
2017-01-01,21231,248056,27485,20621,5995,33286,566764,8036
2017-01-01,53063,12914915,44552,505928,238459,52491,22540287,298018
2017-01-01,42115,973010,42589,40975,9927,41337,1745083,17293
2017-01-01,55107,351998,42647,14179,5520,42533,604698,7525
2017-01-01,04027,4597285,35049,209756,73189,57293,7351746,88348
2017-01-01,19051,190156,34351,8991,2216,36325,308853,4251
2017-01-01,27017,864669,41096,35534,14417,46081,1460302,18003
2017-01-01,38003,299240,51317,10676,5065,43825,547865,7243
2017-01-01,02130,581731,65179,13882,7881,64372,904811,10297
2017-01-01,37051,6242092,36990,331239,173325,59961,12252634,201939
2017-01-01,12043,165872,23510,13608,2478,41236,319930,3466
2017-01-01,37025,6263968,43546,206724,81050,46060,9001900,105257
2017-01-01,47189,4632081,46989,136540,47357,45718,6415841,69581
2017-01-01,13005,215610,32775,11236,4323,43948,368260,5491
2017-01-01,46045,89804,44492,3922,1297,32503,174497,2390
2017-01-01,13069,757531,30988,42885,18377,38476,1328909,23188
2017-01-01,47133,405216,32381,21990,5219,37449,712062,8614
2017-01-01,18105,3586717,40303,146720,73241,48137,5913275,89896
2017-01-01,28031,380972,34699,19045,5948,41472,660850,8343
2017-01-01,01123,817400,38829,40613,14531,38073,1576979,19013
2017-01-01,01005,422113,33048,25158,8671,39241,831418,11676
2017-01-01,28017,300033,33663,17189,5758,39828,578628,7905
2017-01-01,28137,591474,33572,28660,6276,31817,962170,10125
2017-01-01,47065,11743403,49813,361132,213149,58641,17988987,262165
2017-01-01,13107,363782,32066,22501,7327,36719,721510,10005
2017-01-01,31071,42602,41369,1999,937,36509,82697,1465
2017-01-01,18175,623947,36417,27788,6749,36907,1011958,9979
2017-01-01,31061,51731,43032,2988,844,22811,128581,1587
2017-01-01,08025,48656,19263,5798,1202,40820,111685,1732
2017-01-01,28133,359514,28926,26146,9213,36426,756306,11931
2017-01-01,31000,62850121,50663,1917575,1040706,54539,97151035,1320856
2017-01-01,05125,3066297,40160,119669,26333,35787,4805951,38930
2017-01-01,28143,151215,31035,10002,8705,37858,310413,9901
2017-01-01,49053,3162874,36809,165859,66530,37507,6105133,94833
2017-01-01,18123,408398,36596,18988,6805,47943,694890,8638
2017-01-01,40043,105510,40245,4887,1683,34978,196676,3302
2017-01-01,20097,56937,41488,2501,1326,32609,103761,2177
2017-01-01,46109,169517,33352,10307,3791,32455,343756,5657
2017-01-01,28125,44536,30238,4423,1349,23017,133742,2059
2017-01-01,08017,64913,56640,1860,857,45397,105350,1614
2017-01-01,20065,58963,43260,2505,964,28507,108367,2020
2017-01-01,47121,213201,32771,12056,2263,38851,395084,3633
2017-01-01,29223,152345,29061,13305,2849,28401,386657,4270
2017-01-01,48023,64994,39407,3559,1315,34778,140251,2096
2017-01-01,20035,754251,36963,35356,15261,43671,1306859,19826
2017-01-01,20000,91840809,48869,2910689,1483095,52948,142241593,1917326
2017-01-01,22067,473872,37648,25687,7340,38344,967072,10240
2017-01-01,39175,610284,42162,22064,9592,47282,930261,12395
2017-01-01,20127,130530,42789,5466,1639,36672,233883,2908
2017-01-01,08007,249729,40753,13317,4438,32488,542712,8473
2017-01-01,48497,1914677,42208,65863,21009,40359,2779966,34650
2017-01-01,53023,45137,42659,2205,735,46155,94062,1132
2017-01-01,48239,333644,39122,14818,6080,40105,579705,8325
2017-01-01,06079,9273766,55635,282838,124706,55313,15735750,173130
2017-01-01,21139,182533,36823,9264,2740,43028,341132,3919
2017-01-01,26017,2262446,40192,104189,36916,46424,4187549,46766
2017-01-01,49019,263219,50409,9640,5864,39462,485943,8097
2017-01-01,02090,3479296,53974,99725,48081,64532,5382588,58949
2017-01-01,48233,545676,39702,21362,8839,65223,848110,10926
2017-01-01,56000,18280175,56377,578934,289182,52735,32638592,399994
2017-01-01,48047,101811,33258,7153,2686,38951,237895,3809
2017-01-01,26019,333139,41620,17604,4537,32570,732671,7429
2017-01-01,19163,5722204,51985,172692,94656,50295,8977340,113629
2017-01-01,06065,60443685,38975,2417224,761121,49698,94210345,1036246
2017-01-01,53015,2614316,43046,106900,41561,56438,4601607,50108
2017-01-01,06083,15252051,59633,445606,212266,64599,26572680,276436
2017-01-01,56005,1641922,49502,46251,26097,62511,2289502,33662
2017-01-01,06115,1692702,39409,76775,22241,62752,3025651,28737
2017-01-01,34035,24333047,99533,330700,204383,103087,32915620,260078
2017-01-01,42129,10639251,49062,352321,143143,49735,17285702,182812
2017-01-01,37141,1234680,35296,60768,12594,36937,2144885,19837
2017-01-01,16051,629285,33745,28500,7169,34572,961729,12004
2017-01-01,37045,1868864,36182,97228,36996,44007,3517890,46290
2017-01-01,12117,14209698,46782,462236,203355,47721,21624307,272377
2017-01-01,37181,710079,33671,44312,15721,39589,1492016,19523
2017-01-01,55109,3337728,53225,88607,36091,45299,4716124,48228
2017-01-01,13077,4510050,44612,143050,41023,38731,6381774,59919
2017-01-01,47001,1848806,40106,76187,41897,61369,3055522,50090
2017-01-01,51145,1079283,54715,28691,7733,39681,1569818,11827
2017-01-01,13205,412996,33964,22333,7555,41937,758510,9936
2017-01-01,46019,206334,36758,10102,3101,33732,371333,5218
2017-01-01,18007,207563,39639,8617,2593,41948,341569,3877
2017-01-01,29183,14535782,51137,395245,159059,48365,20211682,205106
2017-01-01,31001,874827,46838,31774,16653,46369,1488243,21105
2017-01-01,16057,920311,39454,39714,16529,37402,1566881,22595
2017-01-01,55013,302283,41293,15313,5059,36743,632316,7434
2017-01-01,16073,215302,32319,11626,3143,37395,375741,4833
2017-01-01,40027,7747098,43042,279928,88972,40790,12048538,128433
2017-01-01,40123,904828,40802,38354,19625,44107,1564928,26003
2017-01-01,20147,135861,46978,5400,2551,36493,253681,3968
2017-01-01,40009,468990,35662,21804,10744,43876,777585,15446
2017-01-01,48147,728457,36567,34572,8015,33414,1264204,14530
2017-01-01,27029,196987,41620,8837,3006,40577,367796,4468
2017-01-01,21057,97906,33541,6696,1834,34963,224588,2940
2017-01-01,48353,338391,40545,14837,6138,45571,601569,8484
2017-01-01,35047,350488,32971,27782,8971,32951,916012,11738
2017-01-01,39087,1214844,36580,60111,13723,39488,2198878,18385
2017-01-01,51133,227787,49102,12277,2631,36457,602826,4457
2017-01-01,26057,816323,35599,41011,13297,46143,1459931,17421
2017-01-01,40111,653836,32391,38848,10526,35054,1258319,15413
2017-01-01,19185,152811,40490,6486,2012,40731,262618,3562
2017-01-01,54093,144988,40081,6991,2820,39221,280208,3693
2017-01-01,38035,2261426,49288,70572,46140,52265,3478322,54772
2017-01-01,24011,899261,44788,33108,9910,46467,1482830,14808
2017-01-01,36105,1792413,44483,75079,27319,45916,3339742,36056
2017-01-01,39077,1403256,39074,58462,22953,49264,2284369,28834
2017-01-01,36103,63891816,65445,1483571,694116,66514,97091919,890678
2017-01-01,48315,168267,35869,10073,2152,28365,361306,3707
2017-01-01,53009,1393622,44045,75712,25442,44230,3334707,34263
2017-01-01,17023,366696,39877,15809,5012,39487,630420,7546
2017-01-01,19013,3383554,42221,132409,77896,50938,5590464,91689
2017-01-01,17013,110836,39897,4841,875,26396,193142,1678
2017-01-01,53033,120932421,84542,2204229,1435848,87129,186349730,1772898
2017-01-01,42085,2497470,40648,111551,50022,48160,4534327,61697
2017-01-01,27059,1104380,42424,39583,11476,41241,1679268,16283
2017-01-01,41013,443273,39763,23091,6091,43567,918169,9521
2017-01-01,42025,1951724,47605,63865,17747,60322,3040263,23529
2017-01-01,19111,725536,39430,34243,16236,48890,1350196,19897
2017-01-01,02188,197646,44861,7767,2896,91085,348437,3177
2017-01-01,13049,178550,24489,12822,2397,40142,313992,3185
2017-01-01,46059,73943,46450,3281,1570,29878,152402,2533
2017-01-01,13129,1339576,35514,57187,22840,49157,2030918,28510
2017-01-01,13185,2413611,35817,115389,56648,44415,4132887,69234
2017-01-01,51073,1111081,48145,37309,10104,36563,1796240,14057
2017-01-01,18033,1147227,42213,42822,22926,52623,1807634,28003
2017-01-01,13025,283580,26353,18767,2604,37113,494572,4168
2017-01-01,18177,1460400,39623,66178,32545,44820,2622153,38766
2017-01-01,31089,323894,51310,10186,5098,42887,522640,8521
2017-01-01,45021,1021746,31686,56925,20900,43477,1803722,24859
2017-01-01,47119,2506302,40901,92220,37752,48945,3771909,50973
2017-01-01,01035,175164,31267,12435,3759,37852,388799,5165
2017-01-01,31139,242530,51176,7108,2274,45149,363759,3908
2017-01-01,22063,3816912,39068,138038,29689,37392,5392926,45212
2017-01-01,20063,88299,54352,2630,1361,42051,142947,2340
2017-01-01,40007,169620,47038,5361,1912,42808,252171,3759
2017-01-01,01013,359346,34733,19898,7300,36605,691108,9548
2017-01-01,51167,406975,32004,27027,7569,40769,864963,10002
2017-01-01,33005,2257558,49671,76185,34061,48929,3784209,44954
2017-01-01,46039,122530,48310,4293,1505,44365,207394,2734
2017-01-01,21155,392692,34997,19316,9007,40625,675994,11886
2017-01-01,05063,689804,33882,37409,16911,42676,1267477,21109
2017-01-01,20095,177842,41770,7313,2598,29702,305461,4837
2017-01-01,47077,569100,34542,27726,8430,40375,957710,11978
2017-01-01,05003,342684,33152,20319,7297,43446,673612,9295
2017-01-01,55133,18700835,69085,401070,258257,62325,27708085,311761
2017-01-01,20029,172959,36765,8944,3550,35965,328828,5125
2017-01-01,35025,1767969,38167,69057,30396,54790,2635712,37491
2017-01-01,55097,1986496,44020,70608,38167,50241,3108181,46454
2017-01-01,38023,50787,48780,2291,905,38153,111755,1697
2017-01-01,35061,1318511,32111,75994,15765,35465,2440220,22627
2017-01-01,21125,1123410,33066,60299,28153,39881,1993860,34354
2017-01-01,26000,283148778,46258,9976447,4446743,56340,461485516,5643225
2017-01-01,21161,362862,38861,17225,9287,43345,669379,11552
2017-01-01,54079,1672442,43973,56665,22159,54092,2491717,27777
2017-01-01,02016,252676,52695,5726,3499,77273,301733,3881
2017-01-01,48449,640275,33215,32806,16446,42128,1089645,20336
2017-01-01,54085,169238,34962,9816,3647,37092,343190,5390
2017-01-01,56017,135944,49984,4686,2102,49626,234225,3017
2017-01-01,08083,532000,40316,26148,9777,34495,1054192,14929
2017-01-01,39105,412993,33091,23081,3904,32520,763777,6198
2017-01-01,24005,30527050,58638,828603,401592,58805,48587420,525330
2017-01-01,38031,135970,62124,3258,1776,63504,202401,2605
2017-01-01,48183,3062025,43101,123123,78109,48062,5306692,99717
2017-01-01,48167,11184931,49618,334304,118529,49288,16587472,163253
2017-01-01,36011,1890969,40976,77463,26373,49013,3174112,34149
2017-01-01,56037,1627146,50354,43547,23491,72468,2192761,27903
2017-01-01,17105,970286,42784,36115,13810,54201,1545157,18142
2017-01-01,56033,827188,54470,30132,14161,42512,1641286,21239
2017-01-01,27121,271796,47984,10985,4695,39640,527099,6964
2017-01-01,06000,1520257112,60156,39399349,17900450,71711,2370112356,23610226
2017-01-01,06105,181213,37842,12726,2869,44580,481576,4625
2017-01-01,44009,4843923,60848,126369,59503,51589,7689260,79807
2017-01-01,42011,12497865,47412,417524,183452,56481,19795515,225937
2017-01-01,17091,2721650,39602,110544,47079,48957,4377733,56624
2017-01-01,27069,116358,51621,4259,1663,40779,219854,2738
2017-01-01,27087,92446,35314,5579,2083,39784,197016,2769
2017-01-01,27025,1773893,46871,55214,16496,44598,2587908,22922
2017-01-01,38007,37050,73638,920,514,42115,67747,870
2017-01-01,09011,9675876,56545,267826,135752,63616,15144163,167734
2017-01-01,34023,33754223,58172,827684,453790,70209,48148339,558718
2017-01-01,19059,525644,56603,17173,10118,41262,972046,13743
2017-01-01,38067,203307,52261,6978,3696,49861,364674,5203
2017-01-01,06047,6145959,38037,271340,83619,58036,10320877,104048
2017-01-01,02013,177672,58210,3495,2428,75027,203444,2700
2017-01-01,12029,181639,26862,16636,2855,36022,446870,4298
2017-01-01,37021,6507621,46143,257185,137909,45377,11867353,184358
2017-01-01,37061,1173169,33900,58862,19744,47431,1995406,24824
2017-01-01,37169,953780,35623,45697,8302,30113,1627866,13532
2017-01-01,37067,10926470,47062,375724,197475,57283,17682171,242691
2017-01-01,13241,257276,39632,16557,5338,34253,656184,8095
2017-01-01,31029,97288,45521,3944,2038,37566,179534,3070
2017-01-01,46007,46878,28660,3441,996,31564,98618,1487
